abandon: abandon,abandoned
abide: abide
abnormally: abnormally
abominable: abominable
abomination: abominations
abruptly: abruptly
absence: absence
absent: absent
absolute: absolute
absolutely: absolutely
absorb: absorbed
abstain: abstain
abstract: abstract
abstraction: abstractions
absurd: absurd
abundance: abundance
abundant: abundant
abysmal: abysmal
abyss: abysses
acacia: acacias
academic: academic
accelerate: accelerate
accept: accept,accepted,accepting
access: access,accessed
accessible: accessible
accession: accession
accident: accident
accompany: accompany
account: account
accumulate: accumulate
accustomed: accustomed
ache: ached
acquaintance: acquaintance
action: action
active: active
activity: activity
actual: actual
acutely: acutely
adapt: adapted
adaptation: adaptations
addition: addition,additions
additional: additional
address: address,addressed,addresses
adjacent: adjacent
adjoining: adjoining
adjustment: adjustment
admire: admired
admit: admit,admitted
adorn: adorn
adroitly: adroitly
advance: advance,advanced,advances
advancement: advancement
advantage: advantage
adventure: adventure,adventures
advertisement: advertisement
affair: affair
affection: affection
afield: afield
aforementioned: aforementioned
afraid: afraid
africa: africa
afternoon: afternoon
agape: agape
age: age,ages
aged: aged
agent: agent
ages: ages
aghast: aghast
agonised: agonised
agony: agony
agree: agree,agreed
agreement: agreement
agriculture: agriculture
aimlessly: aimlessly
air: air
aisle: aisle
alarmed: alarmed
alarming: alarming
alert: alert
algal: algal
alike: alike
alive: alive
allen: allen
alliance: alliance
aloft: aloft
aloud: aloud
alter: alter
alteration: alteration
altered: altered
alternate: alternate
alternation: alternations
altogether: altogether
aluminium: aluminium
amateur: amateur
amaze: amaze
amazed: amazed
amazement: amazement
amazing: amazing
ambition: ambition
ambush: ambush
ameliorate: ameliorating
america: america
amorous: amorous
amuse: amuse,amused
amusement: amusement
anachronism: anachronism,anachronisms
ancestor: ancestors
ancestry: ancestry
ancient: ancient
anecdote: anecdote,anecdotes
anemone: anemones
anew: anew
anger: anger
angle: angle,angles
angry: angry
anguish: anguish
animal: animal,animals
animate: animated
animated: animated
ankle: ankle
answer: answer,answered
ant: ant
antenna: antenna
anticipate: anticipate,anticipated
anticipation: anticipation,anticipations
anxiety: anxiety
apace: apace
apartment: apartment,apartments
ape: ape
aperture: aperture,apertures
apologise: apologise
appalled: appalled
appalling: appalling
apparatus: apparatus
apparition: apparition
appeal: appeals
appearance: appearance,appearances
appetite: appetite
applause: applause
apple: apple
appliance: appliances
applicable: applicable
apply: apply
appreciation: appreciation
apprehend: apprehend
apprehension: apprehension,apprehensions
approach: approach,approached,approaching
approval: approval
arbour: arbour
arch: arch
arched: arched
architecture: architecture
archive: archive
argue: argue,argued
argument: argument
argumentative: argumentative
aristocracy: aristocracy
arm: arm,armed,arms
arrange: arrange
arrangement: arrangements
array: array
arrears: arrears
arrival: arrival
arrive: arrived,arriving
art: art
artery: arteries
articulation: articulation
artificial: artificial
artificially: artificially
artistic: artistic
ascii: ascii
ash: ashes
ashamed: ashamed
askew: askew
asleep: asleep
aspect: aspect
aspiration: aspirations
assail: assailed
assemble: assembled
assertion: assertion
assimilation: assimilation
assistance: assistance
associate: associate
assume: assume
assumption: assumption
assurance: assurance
assure: assured
astonish: astonished
astonishing: astonishing
astonishment: astonishment
atmosphere: atmosphere
atom: atoms
atrocious: atrocious
attach: attached
attachment: attachment
attack: attacked
attain: attained
attempt: attempt,attempts
attend: attend,attended
attention: attention
attentively: attentively
attenuate: attenuated
attitude: attitude
attract: attract,attracted
audience: audience
author: author
automatic: automatic
avoid: avoid,avoided
avoidance: avoidance
awake: awake,awoke
awaken: awakened
aware: aware
awful: awful
awkward: awkward
awry: awry
background: background
bacterium: bacteria
bad: bad,worse,worst
badly: badly
balance: balance
balanced: balanced
balloon: balloon,balloons
band: band
bang: banged
banish: banishing
bank: bank,banks
bar: bar,bars
bare: bare
barely: barely
barometer: barometer
barrel: barrel
base: base,based
basis: basis
bath: bathing
bathe: bathe
bathing: bathing
batter: battered
battering: battering
battle: battle
bawl: bawling
bay: bay
beach: beach
beard: beard
bearing: bearing,bearings
beast: beast,beasts
beat: beat,beaten,beating
beating: beating
beautiful: beautiful
beautifully: beautifully
beauty: beauty
beckon: beckoned
bed: bed
begotten: begotten
begrime: begrimed
behave: behaved
behaviour: behaviour
behold: beheld
behove: behoves
belemnite: belemnite
