abhorrence: abhorrence
abide: abide
abject: abject
abjection: abjection
abnormal: abnormal
abominable: abominable
abreast: abreast
abruptly: abruptly
absence: absence
absent: absent
abstinence: abstinence
accent: accent
accept: accept,accepted,accepting
access: access,accessed
accessible: accessible
accident: accident
accompany: accompanied
accomplishment: accomplishment
accost: accosted
account: account,accounts
accoutrement: accoutrement
accurse: accursed
accustom: accustomed
accustomed: accustomed
acid: acids
acknowledgment: acknowledgment
acquaintance: acquaintance
acquiescence: acquiescence
action: action
active: active
activity: activity
actual: actual
acuteness: acuteness
add: add
addition: addition,additions
additional: additional
address: address,addressed,addresses,addressing
admit: admit,admitted,admitting
admittance: admittance
advance: advancing
advanced: advanced
adventure: adventure,adventures
advertise: advertised
advice: advice
advise: advise
affair: affairs
affect: affect
affection: affection,affections
affirmative: affirmative
afford: afford
afraid: afraid
afresh: afresh
afternoon: afternoon,afternoons
age: age
aged: aged
agent: agent,agents
aghast: aghast
agonise: agonised
agony: agonies
agree: agree,agreed
agreeable: agreeable
agreement: agreement
ail: ails
air: air
alarm: alarm,alarmed,alarms
alarmed: alarmed
alas: alas
alert: alert
alive: alive
alleviation: alleviation
allowance: allowance
allusion: allusion
aloud: aloud
alter: alter,altered
alteration: alteration
alternate: alternate
altogether: altogether
amazed: amazed
amazement: amazement
ambition: ambition
amen: amen
amiss: amiss
amity: amities
amorphous: amorphous
amply: amply
anatomical: anatomical
ancient: ancient
anew: anew
angel: angel
anger: anger
angry: angry
anguish: anguish
animal: animal
annotate: annotated
answer: answer,answered,answering
anticipation: anticipation
apace: apace
ape: ape
apocryphal: apocryphal
apothecary: apothecary
appal: appalled
appalling: appalling
apparatus: apparatus
apparent: apparent
appeal: appeal
appearance: appearance,appearances
append: appended
appetite: appetite,appetites
applicable: applicable
apply: apply
apprehension: apprehension,apprehensions
approach: approach,approached,approaches,approaching
approve: approved,approving
aptness: aptness
architect: architects
archive: archive
arm: arm,arms
arouse: aroused
arrange: arranged
arrangement: arrangement,arrangements
array: array
arrest: arrested
arrival: arrival
arrive: arrive
artery: arteries
article: articles
ascii: ascii
ash: ashes
ashamed: ashamed
asleep: asleep
aspiration: aspirations
ass: ass
assail: assail
assault: assaults
assistance: assistance
associate: associates
assume: assume
assurance: assurance
assure: assures
astute: astute
attach: attached
attachment: attachment
attack: attack
attain: attained
attempt: attempt,attempted
attendant: attendants
attention: attention
attire: attired
attribute: attributes
audible: audible
audibly: audibly
aught: aught
aura: aura
austere: austere
author: author
autograph: autograph
autumn: autumn
avail: avail
avenger: avenger
avenue: avenues
aversion: aversion
avidity: avidity
avoid: avoid,avoided
avoidance: avoidance
avow: avowed
await: awaiting
awake: awake,awoke
awaken: awakened
aware: aware
awe: awe
awful: awful
awhile: awhile
axe: axe
ay: ay
babylonian: babylonian
bachelor: bachelor
bad: bad,worse,worst
badly: worse
baffle: baffled
bagpipe: bagpipe
baize: baize
balance: balance,balanced,balancing
balder: balder
balderdash: balderdash
ballroom: ballroom
band: bands
bandit: bandit
