abashed: abashed
abbreviated: abbreviated
abide: abide
ability: abilities,ability
abject: abject
abnormal: abnormal
abnormally: abnormally
aboard: aboard
abruptly: abruptly
absently: absently
absolute: absolute
accelerate: accelerating
accept: accept,accepted,accepting
acceptable: acceptable
acceptance: acceptance
access: access,accessed
accessible: accessible
accident: accident,accidents
accompany: accompanied
accomplish: accomplish
account: account
accusation: accusation
accuse: accuse
accustomed: accustomed
achieve: achieve,achieved
acknowledge: acknowledge
acknowledgment: acknowledgment
acquaint: acquainted
acquire: acquire
acrid: acrid
action: action
activate: activated
active: active
activity: activities,activity
actual: actual
acute: acute
acutely: acutely
adapt: adapt,adapted
adaptable: adaptable
add: add,adds
addition: addition,additions
additional: additional
address: address,addresses,addressing
adherence: adherence
adjust: adjust
administer: administered,administering
administrative: administrative
administrator: administrator
admission: admission
admit: admit,admitted
advance: advance
advanced: advanced
advancement: advancement
advantage: advantage,advantages
affair: affair
affect: affect
affectionate: affectionate
afflict: afflicted,afflicting
affliction: affliction
afford: afford,affording
afraid: afraid
afterhold: afterhold
afternoon: afternoon
afterward: afterward
aged: aged
agent: agent,agents
agonizing: agonizing
agree: agree,agreed
agreement: agreement
aid: aid
ailing: ailing
aimlessly: aimlessly
air: air
airborne: airborne
aircraft: aircraft
airlock: airlock
airport: airport
ak: ak
alan: alan
alarm: alarm
alarmingly: alarmingly
alarum: alarums
alaska: alaska
alcohol: alcohol
aldebaran: aldebaran
alert: alert
alertness: alertness
alien: alien
alienness: alienness
alive: alive
aloft: aloft
aloud: aloud
alteration: alteration,alterations
alternate: alternate
alternative: alternative
altogether: altogether
amass: amassed
amaze: amazes
amazement: amazement
amazing: amazing
ambassador: ambassador
america: america
american: american
ammonia: ammonia
amphitheater: amphitheater
ample: ample
amuse: amused
anaesthesia: anaesthesia
anaesthetic: anaesthetic,anaesthetics
anaesthetize: anaesthetized
analysis: analysis
anatomical: anatomical
anatomically: anatomically
anatomy: anatomy
ancestry: ancestry
anchor: anchoring
ancient: ancient
anger: anger
angrily: angrily
angry: angrier,angry
anguish: anguish
animal: animal,animals
ankle: ankles
announcer: announcer
annoy: annoy
annoyingly: annoyingly
answer: answer,answered,answers
antagonism: antagonism
anteroom: anteroom
antibiotic: antibiotic,antibiotics
antibody: antibodies,antibody
anticipate: anticipate,anticipated,anticipating
antidote: antidote
antisepsis: antisepsis
antiseptic: antiseptic
antiviral: antiviral
apathetic: apathetic
apologetic: apologetic
appal: appalled
apparatus: apparatus
apparent: apparent
appeal: appeal
appearance: appearance
appendectomy: appendectomy
apple: apple
applicable: applicable
applicant: applicant,applicants
application: application,applications
apply: applied,apply
appoint: appointed
appointment: appointment,appointments
apprehension: apprehension
apprehensively: apprehensively
approach: approach,approached
approval: approval
april: april
aquatic: aquatic
archive: archive
argue: argue,argued,arguing
argument: argument
arm: arm,arms
armed: armed
army: army
arrange: arranged,arranging
arrangement: arrangements
array: array
arrival: arrival
arrive: arrive,arrived,arrives,arriving
article: articles
artificially: artificially
ascii: ascii
ashamed: ashamed
askew: askew
aspect: aspect
assault: assault
assign: assign,assigned
assignment: assignment,assignments
assist: assisted,assisting
assistance: assistance
assistant: assistant,assistants
assume: assume,assumed,assuming
assure: assure,assured,assuring
astronomical: astronomical
atlas: atlas
atmosphere: atmosphere
atmospheric: atmospheric
atomic: atomic
attach: attached
attachment: attachment
