abandon: abandoning
abhor: abhorred
abide: abide
abject: abject
abode: abode
abrupt: abrupt
abruptly: abruptly
absence: absence
absorb: absorbed
abstain: abstain
abstractedness: abstractedness
abyss: abyss
accent: accents
accept: accept,accepted,accepting
acceptation: acceptation
access: access,accessed
accessible: accessible
accompany: accompanied,accompanying
accomplishment: accomplishment
account: account,accounts
accurate: accurate
accursed: accursed
accustom: accustomed
accustomed: accustomed
acquaint: acquainted
acquaintance: acquaintance
action: action,actions
active: active
actual: actual
adapt: adapted
add: add
addition: addition,additions
additional: additional
address: address,addressed,addresses
adduce: adduced
admire: admire
adorn: adorned
adultress: adultress
advance: advance,advanced,advancing
advice: advice
affair: affairs
affectation: affectation
affection: affection,affections
affirm: affirmed
afflict: afflicted
affluent: affluent
afraid: afraid
afrits: afrits
age: age,ages
aged: aged
agency: agency
agent: agent,agents
agitate: agitating
agony: agony
agree: agree,agreed
agreement: agreement
airy: airy
ak: ak
alarm: alarm
album: album
alienated: alienated
alike: alike
alive: alive
allude: alluded
alms: alms
aloud: aloud
alps: alps
alteration: alteration
alternate: alternate
altogether: altogether
amply: amply
ancient: ancient
anecdote: anecdotes
animal: animal
animated: animated
annex: annexed
anonymous: anonymous
answer: answer,answered,answers
antagonist: antagonist
antiquarian: antiquarian
antiquary: antiquary
antiquity: antiquities
anxiety: anxiety
anxious: anxious
anxiously: anxiously
apace: apace
apartment: apartment,apartments
apathetic: apathetic
apology: apologies
apparent: apparent
appeal: appealed
appearance: appearance
appetite: appetite
applause: applause
applicable: applicable
apply: apply
appoint: appointed
apprentice: apprentices
approach: approach,approached,approaching
approve: approving
arabian: arabian,arabians
archipelago: archipelago
architect: architect
architecture: architecture
archive: archive
arm: arm,arms
armenian: armenian
arnold: arnold
arrange: arranging
array: array
arrival: arrival
arrive: arrive,arrived
art: art,arts
article: articles
ascertain: ascertained
ascii: ascii
ash: ashes
ashamed: ashamed
assemble: assembled
assembly: assemblies,assembly
assent: assent
assignation: assignation
assist: assist
assistance: assistance
associate: associating
association: associations
assume: assume,assumed
assure: assured
astonish: astonished
astonished: astonished
astonishing: astonishing
ataghan: ataghans
athens: athens
atmosphere: atmosphere
attach: attach,attached,attaching
attack: attacks
attain: attained,attaining
attempt: attempt,attempted
attend: attend,attended,attending
attendance: attendance
attendant: attendant,attendants
attention: attention,attentions
attract: attract,attracted
attribute: attributed,attributing
aubrey: aubrey
aught: aught
austria: austria
author: author
avail: availed
averse: averse
avert: avert
avoid: avoid,avoided
avoidance: avoidance
await: awaiting
aware: aware
awe: awe
awful: awful
awning: awning
baffle: baffled
bailiff: bailiff
balcony: balcony
ball: balls
balustrade: balustrade
banker: banker
banquet: banquet
barbarian: barbarian
bargaining: bargaining
base: base,based
bashfulness: bashfulness
bask: bask
battle: battles
bay: bay
bear: bear,bearing,borne
beautiful: beautiful
beauty: beauties,beauty
bed: bed
bedchamber: bedchamber
beg: beg,begged
beggar: beggar
behold: beholding
belief: belief
belong: belong,belonging,belongs
beloved: beloved
beneath: beneath
benevolence: benevolence
benevolent: benevolent
benumb: benumbed
beseech: besought
bestow: bestowed
bet: betted
bewilder: bewildered
bid: bade
binary: binary
bind: bound
bird: bird
birth: birth
bitter: bitter
black: black
blast: blast
bless: bless
blight: blighted
blood: blood
bloom: bloom
