abatement: abatement
abbey: abbey,abbeys
abhor: abhor
abhorrent: abhorrent
ability: abilities
abode: abode
abominably: abominably
abridger: abridger
abruptly: abruptly
abruptness: abruptness
absence: absence
absent: absent
absolute: absolute
absolutely: absolutely
absurd: absurd
absurdity: absurdity
abundance: abundance
abuse: abuse
abyss: abyss
accept: accept,accepted,accepting
acceptance: acceptance
accessible: accessible
accession: accession
accident: accident
accidental: accidental
accidentally: accidentally
accommodate: accommodate
accommodation: accommodation,accommodations
accompany: accompanied,accompany,accompanying
accomplish: accomplish,accomplished,accomplishing
accomplishment: accomplishment
accord: accord
account: account,accounted,accounts
accountable: accountable
accumulation: accumulation
accuse: accuse,accused
accustom: accustomed
accustomed: accustomed
acknowledge: acknowledge,acknowledged,acknowledging
acknowledgment: acknowledgment
acquaint: acquainted
acquaintance: acquaintance
acquiesce: acquiesce
acquiescence: acquiescence
acquisition: acquisition
acquit: acquit,acquitted
acre: acres
action: action,actions
active: active
activity: activity
actual: actual
acute: acute
acuteness: acuteness
adapt: adapted
add: add,adding
addicted: addicted
addition: addition
additional: additional
address: address,addressed,addressing
adieu: adieu
adieus: adieus
adjourn: adjourned
adjust: adjusted
administer: administering
admirably: admirably
admiration: admiration
admire: admire,admired,admiring
admission: admission
admit: admit,admitted,admitting
admittance: admittance
adopt: adopt
adorn: adorned
advance: advance,advanced,advances,advancing
advanced: advanced
advantage: advantage,advantages
advantageous: advantageous
adventure: adventure,adventures
advertise: advertised
advertisement: advertisement
advice: advice
advise: advise
affair: affair,affairs
affect: affect
affectation: affectation
affectedly: affectedly
affection: affection,affections
affectionate: affectionate
affectionately: affectionately
affirmative: affirmative
afflict: afflicted
affliction: affliction
afford: afford,afforded
affrighted: affrighted
affront: affront,affronted,affronts
afraid: afraid
afternoon: afternoon
age: age,ages
agitate: agitated
agitated: agitated
agitation: agitation
agony: agonies,agony
agree: agree,agreed,agreeing
agreeable: agreeable
agreeableness: agreeableness
agreeably: agreeably
agreement: agreement
aim: aim,aimed,aiming
air: air,airs
airing: airing
alacrity: alacrity
alarm: alarm,alarmed,alarms
alarming: alarming
alarmingly: alarmingly
alas: alas
alfred: alfred
alice: alice
alike: alike
allege: alleged
allen: allen
alley: alley
alliance: alliance
allowable: allowable
allowance: allowance
allude: alluding
aloud: aloud
alps: alps
alter: alter,altered,altering
alteration: alteration,alterations
altered: altered
alternately: alternately
altogether: altogether
amazed: amazed
amazement: amazement
amazing: amazing
amazingly: amazingly
ambiguous: ambiguous
ambition: ambition
amenable: amenable
amend: amends
amendment: amendment
amiable: amiable
amiss: amiss
amity: amity
ample: ample
amuse: amuse,amused
amusement: amusement,amusements
amusing: amusing
ancestor: ancestor
ancient: ancient
angel: angel
anger: anger
angrily: angrily
angry: angry
animal: animal
animate: animated
animation: animation
animosity: animosities
ankle: ankle,ankles
anne: anne
answer: answer,answered,answering
antechamber: antechamber
anthony: anthony
anticipation: anticipations
antique: antique
antiquity: antiquity
anxiety: anxieties,anxiety
anxious: anxious
anxiously: anxiously
anxiousness: anxiousness
apartment: apartment,apartments
apologize: apologize,apologizing
apology: apologies,apology
appalled: appalled
appeal: appeal
appearance: appearance,appearances
appease: appeased
appetite: appetite
apple: apple
applicable: applicable
application: application
apply: applied,apply
appoint: appointed
appointment: appointment
apprehension: apprehension
apprise: apprised
approach: approach,approached,approaches,approaching
approbation: approbation
approve: approve
april: april
arch: arch,arches
arched: arched
architecture: architecture
archness: archness
archway: archway
ardour: ardour
argue: arguing
argument: argument,arguments
argyle: argyle
aright: aright
arm: arm,arms
arrange: arranged
arrangement: arrangement,arrangements
arrival: arrival,arrivals
arrive: arrived,arriving
art: art
artful: artful
artfully: artfully
article: article,articles
artifice: artifice
artless: artless
ascend: ascend,ascended,ascending
ascertain: ascertain,ascertained
ascribe: ascribed
ash: ashes
ashamed: ashamed
asleep: asleep
aspect: aspect
aspire: aspiring
assail: assailed
assassin: assassins
assemble: assembled,assembling
assembly: assemblies,assembly
assent: assent,assented,assenting
assert: assert,asserted,asserting
assertion: assertion,assertions
assignment: assignment
assist: assist,assisted,assisting
assistance: assistance
association: associations
assume: assumed,assuming
assurance: assurance
assure: assure,assured,assuring
astonished: astonished
astonishing: astonishing
astonishment: astonishment
asunder: asunder
atone: atone
atrocity: atrocities
attach: attach,attached
attachment: attachment,attachments
attack: attack,attacked,attacking,attacks
attain: attain
attempt: attempt,attempted,attempting
attend: attend,attended,attending
attendance: attendance
attendant: attendant,attendants
attention: attention,attentions
attentive: attentive
attentively: attentively
attestation: attestation
attire: attire
attitude: attitude
attorney: attorneys
attract: attract,attracted,attracting
attraction: attraction
