abalone: abalone
abandon: abandon,abandoned,abandoning
abdomen: abdomen
abdominal: abdominals
abeyance: abeyance
abide: abide,abiding
ability: ability
ablaze: ablaze
aboard: aboard
abode: abode
abominable: abominable
aborigine: aborigines
abound: abounded
abraham: abraham
abrasion: abrasions
abreast: abreast
abridged: abridged
abruptly: abruptly
absence: absence
absent: absent
absolute: absolute
absolutely: absolutely
absolve: absolve
absorb: absorb,absorbed,absorbing,absorbs
absurd: absurd
abundance: abundance
abundant: abundant
abundantly: abundantly
abuse: abuse
academy: academy
accelerate: accelerate,accelerated
accent: accent,accented,accenting
accentuate: accentuated
accentuation: accentuation
accept: accept,accepted,accepting
acceptable: acceptable
acceptance: acceptance
access: access
accessory: accessories
accident: accident,accidents
accidental: accidental
accidentally: accidentally
acclaim: acclaimed
acclimatize: acclimatized
accommodation: accommodations
accompany: accompanied,accompany,accompanying
accomplice: accomplice,accomplices
accomplish: accomplish,accomplished
account: account,accounting
accumulation: accumulation
accuracy: accuracy
accurate: accurate
accurately: accurately
accursed: accursed
accuse: accused,accusing
accustom: accustomed
accustomed: accustomed
acephala: acephala
acetabuliferous: acetabuliferous
ache: ached
achieve: achieve,achieved
achievement: achievement,achievements
acquaintance: acquaintance
acquiesce: acquiesce
acquire: acquired,acquiring
acre: acres
acrobatic: acrobatic
acropolis: acropolis
acting: acting
actinidia: actinidia
action: action,actions
actium: actium
activate: activate,activated
active: active
activity: activities,activity
actual: actual
acute: acute
adapt: adapt
add: add,adding,adds
addicted: addicted
addition: addition
additional: additional
address: address,addressed,addressing
adelaide: adelaide
adelphi: adelphi
aden: aden
adequate: adequate
adequately: adequately
adhere: adhering
adjoin: adjoining,adjoins
adjust: adjust,adjusted,adjusting
administration: administration
admirable: admirable
admiral: admiral
admiralty: admiralty
admire: admire
admissible: admissible
admission: admission
admit: admit,admits,admitted,admitting
ado: ado
adopt: adopt,adopting
adoration: adoration
adorn: adorned,adorning
adornment: adornment
adriatic: adriatic
adroit: adroit
adult: adult,adults
advance: advance,advanced,advances,advancing
advanced: advanced
advantage: advantage
advantageous: advantageous
adventure: adventure,adventures
adventurer: adventurer
adversary: adversaries,adversary
advice: advice
advisable: advisable
advise: advise,advised
aerial: aerial
affability: affability
affable: affable
affair: affairs
affect: affect
affection: affection
affectionate: affectionate
afford: afford
affront: affront
afloat: afloat
afoot: afoot
aforesaid: aforesaid
afoul: afoul
afraid: afraid
africa: africa
aft: aft
afterdeck: afterdeck
aftermath: aftermath
afternoon: afternoon
aftershock: aftershocks
age: age
ageless: ageless
aggressive: aggressive
agile: agile
agility: agility
agitate: agitated
agitated: agitated
agitation: agitation
agonizing: agonizing
agree: agree,agreed
agreeable: agreeable
agreement: agreement,agreements
aground: aground
aha: aha
ahoy: ahoy
aid: aid
ailing: ailing
ailment: ailments
aim: aim,aimed,aiming
air: air
airship: airship
airtight: airtight
ajar: ajar
akin: akin
alacrity: alacrity
alarm: alarm,alarmed
alarmed: alarmed
alarming: alarming
albacore: albacore
albatross: albatross
albeit: albeit
album: albums
alcove: alcoves
alcyon: alcyon
alcyonaria: alcyonaria
alcyonarian: alcyonarian
alert: alert,alerted
aleutian: aleutian
alexandria: alexandria
alga: algae
algae: algae
algebraic: algebraic
algiers: algiers
alien: alien
alight: alighted
alive: alive
allan: allan
allege: alleged
alley: alley
alliance: alliance
alligator: alligators
allot: allotted
allowance: allowance
allude: allude
allure: allure,allured
alluring: alluring
allusion: allusion
ally: allied,allies,ally
almighty: almighty
almond: almond
aloe: aloes
aloft: aloft
