abe: abed
abide: abide
abject: abject
abode: abode
abstinence: abstinence
absurd: absurd
abundance: abundance
abyss: abyss
accept: accept,accepted,accepting
access: access,accessed
accessible: accessible
accommodate: accommodate
accompany: accompanied
account: account
accuracy: accuracy
accusatory: accusatory
accustomed: accustomed
ache: ache
achieve: achieved
acquaint: acquainted
acquaintance: acquaintance
action: action,actions
active: active
actual: actual
adamant: adamant
adapt: adapted
add: add
addition: addition,additions
additional: additional
address: address,addressed,addresses,addressing
adjoining: adjoining
adjust: adjusted
adjustment: adjustment
administer: administered
administrator: administrator
admiration: admiration
admit: admit,admitted
advance: advance,advanced
advantage: advantage
adventure: adventure
adversary: adversary
affability: affability
affair: affairs
affection: affection
affectionate: affectionate
afford: afford,afforded
affront: affront
afraid: afraid
afternoon: afternoon
age: age,ages
aged: aged
agent: agent
agility: agility
agitated: agitated
agitation: agitation
agonised: agonised
agony: agony
agree: agree,agreed
agreeable: agreeable
agreement: agreement
aid: aid
aim: aim
air: air
ak: ak
alarm: alarm
alarming: alarming
alas: alas
alderman: aldermen
alfred: alfred
alike: alike
alive: alive
alley: alleys
almond: almonds
almshouse: almshouse
alphabet: alphabet
altar: altar
alteration: alteration
altered: altered
alternate: alternate
altogether: altogether
amazed: amazed
amend: amends
american: americans
ample: ample
ancestor: ancestors
ancient: ancient
angel: angel,angels
angelic: angelic
angry: angry
animal: animal
ankle: ankle
announcement: announcement
anonymous: anonymous
answer: answer,answered,answering
antique: antique
anxious: anxious
anxiously: anxiously
apoplectic: apoplectic
apostles: apostles
appal: appalled
appalling: appalling
apparel: apparel
apparition: apparition
appeal: appealing
appearance: appearance,appearances
appetite: appetite
applaud: applauded
apple: apple,apples
applicable: applicable
apply: applied,apply
appraise: appraised
apprehensive: apprehensive
apprentice: apprentice,apprenticed,apprentices
approach: approach,approached
approve: approving
apron: aprons
archive: archive
archway: archways
arm: arm,arms
aromatic: aromatic
array: array
arrival: arrival
arrive: arrived
artful: artful
arthur: arthur
artifice: artifice
artificial: artificial
artist: artist
ascii: ascii
ashamed: ashamed
asleep: asleep
aspiration: aspirations
ass: ass
assemble: assembled,assembling
assign: assign,assigned
assist: assist,assisted
assistance: assistance
assure: assure,assured
astonish: astonish,astonished
astonishment: astonishment
atmosphere: atmosphere
atom: atom,atoms
attach: attach,attached
attend: attended
attendant: attendant
attention: attention
attentively: attentively
attire: attire,attired
attitude: attitude
attract: attract
attractive: attractive
aught: aught
aunt: aunts
author: author
authority: authority
avarice: avarice
avoid: avoid
awake: awake,awaking,awoke
awful: awful
awhile: awhile
awkwardly: awkwardly
axe: axe
baba: baba
baby: baby
bachelor: bachelor
bad: bad,worse
badly: badly
bag: bag,bags
bah: bah
bake: baking
baker: baker,bakers
balance: balancing
baleful: baleful
ball: ball
balustrade: balustrades
bandage: bandage
bang: bang
banker: banker
bar: bar,barred
bare: bare,bared
barely: barely
bareness: bareness
barer: barer
bargain: bargain
barrel: barrels
barren: barren
base: base,based
basin: basin
bask: basking
basket: baskets
