abide: abide
abnormal: abnormal
abode: abode
absence: absence
absolutely: absolutely
abuse: abusing
accent: accent
accept: accept,accepted,accepting
access: access,accessed
accessible: accessible
accompany: accompany
accomplice: accomplice
accomplished: accomplished
account: account,accounts
accuse: accuse,accused
achieve: achieved
acquaint: acquainted
acquaintance: acquaintance,acquaintances
active: active
actual: actual
acutely: acutely
addict: addicted
addition: addition,additions
additional: additional
address: address,addressed,addresses,addressing
adjacent: adjacent
adjective: adjective
adjoining: adjoining
admirable: admirable
admirably: admirably
admiration: admiration
admire: admire
admirer: admirer
admit: admit,admitted,admitting
advance: advance,advanced,advancing
advantage: advantage
adventure: adventure
advice: advice
advise: advise
affair: affair,affairs
affect: affect
affection: affection
affirm: affirm,affirmed
affirmative: affirmative
afraid: afraid
afternoon: afternoon
afterward: afterward
age: age
aged: aged
agent: agent
agitated: agitated
agree: agree,agreed
agreeable: agreeable
agreeably: agreeably
agreement: agreement
aid: aid
air: air
ak: ak
alarmed: alarmed
alarmingly: alarmingly
allude: alluded
allusion: allusion
almond: almond
alpenstock: alpenstock
alps: alps
alteration: alteration
alternate: alternate
altogether: altogether
amazement: amazement
ambiguity: ambiguity
america: america
american: american,americans
amiable: amiable
amoroso: amoroso
amuse: amused,amusing
amused: amused
amusement: amusement
analogy: analogies,analogy
analyze: analyzing
ancestor: ancestors
ancient: ancient
angle: angle
angrily: angrily
angry: angry
animated: animated
annals: annals
annie: annie
announcement: announcement
annoy: annoyed
annoyed: annoyed
answer: answer,answered
antique: antique
antiquity: antiquities,antiquity
apartment: apartment
apologize: apologized
apparent: apparent
appeal: appealing
appearance: appearance
applicable: applicable
apply: applied,apply
appoint: appointed
appreciation: appreciation
apprehension: apprehension
approach: approach,approached,approaching
approachable: approachable
approbation: approbation
approve: approve
april: april
arch: arch,arches
archive: archive
archway: archway,archways
ardently: ardently
arena: arena
arm: arm,arms
arrange: arrange,arranged
arrangement: arrangements
array: array
arrival: arrival
arrive: arrive,arrived,arriving
artfully: artfully
artist: artist
ascertain: ascertained
ascii: ascii
askance: askance
asleep: asleep
aspect: aspect
asperity: asperity
assemble: assembled
assent: assented
assign: assigned
assistance: assistance
assume: assumes
assure: assure,assured
astride: astride
atmosphere: atmosphere
attach: attached
attache: attache
attachment: attachment
attack: attacked
attempt: attempt
attend: attended
attendance: attendance
attendant: attendant
attention: attention,attentions
attentive: attentive
attitude: attitude
audacious: audacious
audacity: audacity
audibleness: audibleness
aunt: aunt
author: author
avoid: avoided
awake: awake
aware: aware
awkward: awkward
axiom: axiom
bad: bad,worse
baker: baker
balance: balanced
balcony: balconies
banker: banker
bar: bars
barber: barber
barehead: bareheaded
bargain: bargain,bargained
base: base,based
bear: bore,born
beautiful: beautiful
beautifully: beautifully
beauty: beauties,beauty
beckon: beckoning
bed: bed
beg: beg
behavior: behavior
behold: beheld
behoove: behooves
belief: belief
bench: bench,benches
bend: bending,bent
beneath: beneath
benefit: benefit
bestow: bestowed
bet: bet
bewilder: bewildered
bid: bade
binary: binary
bind: bound
bit: bit
blaze: blazes
bless: bless
block: block
bloom: bloom
blossom: blossom
blow: blowing
blue: blue
blush: blushed,blushing
boat: boat,boats
bold: bold
bologna: bologna
bonnet: bonnet
book: book,booked
border: border,bordered
borghese: borghese
bosom: bosom
boss: boss
boston: boston
bother: bother,bothered
bottle: bottle
bouquet: bouquet
bow: bow,bowed,bowing
boy: boy,boys
brace: bracing
breach: breach
break: broke
breakfast: breakfast
breeze: breeze
bright: bright,brightest
brightly: brightly
brilliancy: brilliancy
brilliant: brilliant
bring: bring,brings,brought
broad: broad
brother: brother
brutally: brutally
burst: burst
bury: buried
business: business
button: buttoning
buttonhole: buttonhole
byron: byron
cab: cab
cabinet: cabinet,cabinets
caelian: caelian
calculate: calculate,calculated
calmly: calmly
calvinism: calvinism
camphor: camphor
candidly: candidly
candy: candy
cane: cane
cap: cap
capital: capital
caprice: caprices
car: cars
card: card,cards
care: care,cared
career: career
carefully: carefully
carriage: carriage,carriages
carry: carried,carry,carrying
cast: cast
castle: castle,castles
catch: catch,catching
category: categories,category
cautious: cautious
cavalier: cavalier,cavaliers
cavaliere: cavaliere
cavernous: cavernous
cease: cease,ceased,ceasing
celestial: celestial
cemetery: cemetery
center: center
certainty: certainty
certitude: certitude
chaff: chaffing
chain: chain
chair: chair
chalk: chalk
chamber: chambers
chambermaid: chambermaid
chance: chance
chandler: chandler
change: change
chant: chants
character: character
characteristic: characteristics
charge: charge,charges
charitable: charitable
charitably: charitably
charity: charities
charm: charmed
charmer: charmer
charming: charming
chateau: chateau
chatter: chatter,chattered,chattering
check: check,checked,checks
cheek: cheek
cheerfully: cheerfully
chief: chief
chiefly: chiefly
child: child,children
childish: childish
chin: chin
choice: choice
choir: choir
choose: choose,chose,chosen
chop: chopping
christian: christian
church: church
cicerone: cicerone
cigarette: cigarette
circle: circle,circles
circumstance: circumstances
circus: circus
city: city
civility: civility
claim: claim,claiming,claims
clasped: clasped
class: class
classical: classical
clever: clever
cleverly: cleverly
cleverness: cleverness
climate: climate
close: close,closing
clothes: clothes
cloud: cloud
cluster: clusters
coachman: coachman
coat: coat
code: codes
coffee: coffee
cold: cold
collect: collected
collection: collection
college: college
colonist: colonists
color: color,colored
colored: colored
colosseum: colosseum
comanche: comanche
combination: combination
comfort: comfort
comfortable: comfortable
comme: comme
comment: commented
commercial: commercial
commission: commission
commit: commit,committed
common: common
commonness: commonness
communicate: communicate
companion: companion,companions
companionship: companionship
company: company
compatriot: compatriot,compatriots
compilation: compilation
completely: completely
complexion: complexion
compliance: compliance
compliment: compliment,compliments
comply: comply,complying
compose: composed
compress: compressed
compromise: compromise
concept: concept
conception: conception
conclude: concluded
conclusion: conclusion
concourse: concourse
condition: conditions
conduct: conducted
confess: confessed
confide: confiding
confidence: confidence
confirm: confirmed
confirmation: confirmation
congress: congress
conscience: conscience
conscientiously: conscientiously
conscious: conscious
consciousness: consciousness
consequential: consequential
considerable: considerable
consideration: consideration
consign: consign
consistency: consistency
consolatory: consolatory
constant: constant
constantine: constantine
constantly: constantly
constitution: constitution
contact: contact
contemplate: contemplating
contemplative: contemplative
contents: contents
contingency: contingencies
continue: continue,continued,continues
contract: contract
contradictory: contradictory
