abase: abasing
abasement: abasement
abbe: abbe
abbreviation: abbreviation
abdicate: abdicated
abide: abide
ability: ability
abjure: abjure
abortion: abortion
abridgement: abridgement
absent: absent
absolute: absolute
absolutely: absolutely
absolve: absolve
absorb: absorbed
abstinence: abstinence
abstract: abstract,abstracted
abstruse: abstrusest
absurd: absurd
absurdity: absurdity
absurdly: absurdly
absurdum: absurdum
abundant: abundant
abuse: abuse,abused
abyss: abyss,abysses
accept: accept,accepted,accepting,accepts
acceptance: acceptance
access: access,accessed,accesses
accessible: accessible
accessory: accessories
accident: accident,accidents
accidental: accidental
accompany: accompanies,accompanying
accomplish: accomplishing
accord: accord
accoucheur: accoucheur
account: account,accounted
accumulate: accumulated
accumulation: accumulation
accurately: accurately
accuser: accusers
accustom: accustom,accustomed
accustomed: accustomed
achieve: achieve,achieved
achievement: achievement
acknowledge: acknowledge,acknowledged,acknowledges
acquaint: acquainted
acquire: acquire,acquired,acquiring
acquisition: acquisition
action: action,actions
active: active
activity: activity
actor: actor,actors
actual: actual
actualize: actualize
acute: acute
acuteness: acuteness
acutest: acutest
adapt: adapt,adapted
adaptableness: adaptableness
adaptation: adaptation,adaptations
adapting: adapting
add: add,adds
addition: addition,additions
additional: additional
address: address,addressed,addresses
adherent: adherent
adjustment: adjustment
administration: administration
admirable: admirable
admiration: admiration
admire: admire,admired,admires
admissible: admissible
admission: admission
admit: admit,admits,admitted
admixture: admixture
adorable: adorable
adoration: adoration
adore: adore
adornment: adornment
adulator: adulators
advance: advance,advanced,advances
advanced: advanced
advantage: advantage
advent: advent
adventure: adventure
adventurer: adventurers
adventurous: adventurous
advice: advice
advise: advise,advised
advocate: advocate,advocates
aeschylus: aeschylus
aesthetics: aesthetics
affability: affability
affair: affair,affairs
affinity: affinity
affirm: affirm
affirmative: affirmative
afflict: afflicted
affliction: affliction
afraid: afraid
afternoon: afternoon
age: age,ages
aged: aged
agency: agency
agent: agent
aggrandizement: aggrandizement
aggregate: aggregated
aggrieved: aggrieved
aging: aging
agit: agit
agitation: agitation
agitator: agitator
agony: agony
agree: agree,agreed,agreeing
agreeable: agreeable
agreeably: agreeably
agreement: agreement
aground: aground
aid: aid
aim: aim,aims
air: air,airs
ak: ak
akin: akin
alarming: alarming
alarmingly: alarmingly
alas: alas
alchemy: alchemy
alcibiades: alcibiades
alcoholic: alcoholic
alert: alert
alike: alike
alive: alive
allegorical: allegorical
allegory: allegory
allemande: allemande
aller: aller
alleviate: alleviate,alleviating
alleviation: alleviation
alliance: alliances
allowable: allowable
allure: allure,allured,allures
allurement: allurement,allurements
aloft: aloft
