abandon: abandon
abandonment: abandonment
abasement: abasement
abba: abba
abhor: abhor
abide: abide,abides,abiding
ability: ability
abnormal: abnormal
abode: abode
abound: abound,abounded,abounding
abounding: abounding
abraham: abraham
abreast: abreast
absence: absence
absent: absent
absolute: absolute
absolutely: absolutely
absurd: absurd
abundant: abundant
abundantly: abundantly
abuse: abused
accept: accept,accepted,accepting,accepts
acceptable: acceptable
acceptance: acceptance
access: access,accessed
accessible: accessible
accompany: accompanied,accompany
accomplish: accomplish,accomplishes
accord: accord
account: account,accounts
accuracy: accuracy
accurate: accurate
accurately: accurately
accuse: accusing
accuser: accuser
achieve: achieve
acknowledge: acknowledge,acknowledging
acorn: acorns
acquaintance: acquaintance
acquittal: acquittal
action: action,actions
active: active
actively: actively
activity: activities,activity
acts: acts
actual: actual
adam: adam
adapt: adapted
add: adds
addition: addition,additions
additional: additional
address: address,addressed,addresses
adhere: adhered
adjust: adjusted
admiration: admiration
admit: admit
admonish: admonished
adoniram: adoniram
adoption: adoption
advance: advance,advances
advancement: advancement
adverse: adverse
advert: adverts
advice: advice
advocate: advocate,advocates
affair: affairs
affection: affection,affections
affectionate: affectionate
affectionately: affectionately
afflict: afflicted
affliction: affliction,afflictions
afford: afford
afraid: afraid
africa: africa
african: african
age: age,ages
aged: aged
agency: agency
agent: agent,agents
ages: ages
agonising: agonising
agony: agony
agree: agree,agreed
agreement: agreement
aid: aid
air: air
ak: ak
alarmed: alarmed
alas: alas
alike: alike
alive: alive
allure: allure
almighty: almighty
aloft: aloft
alps: alps
altar: altar
alter: alter
alteration: alteration
alternate: alternate
alway: alway
amazement: amazement
amazing: amazing
ambassador: ambassador,ambassadors
ambition: ambition,ambitions
amen: amen
amendment: amendment
american: american
amiss: amiss
amuse: amused
amusement: amusement
ananias: ananias
anchor: anchored
anew: anew
angel: angel,angels
anger: anger
angry: angry
anguish: anguish
anoint: anointed,anointing
anointing: anointing
answer: answer,answered,answering,answers
ant: ants
antagonism: antagonism
anxiety: anxiety
anxious: anxious
anxiously: anxiously
apace: apace
apology: apology
apostle: apostle,apostles
apostles: apostles
appeal: appeal,appealed,appeals
appearance: appearance
appetite: appetite,appetites
applause: applause
applicable: applicable
apply: applied,applies,apply
appoint: appointed,appoints
apprehend: apprehend
approach: approach,approaching
approval: approval
approve: approved
apt: apt
aptitude: aptitude
arc: arc
archangel: archangel
archer: archer
archive: archive
ardent: ardent
ardour: ardour
argue: argue,argued
argument: argument
arithmetic: arithmetic
ark: ark
arm: arm,arms
armed: armed
armour: armour
army: army
arnold: arnold
arouse: arouse,aroused,arouses
arrange: arranges
array: array
arrest: arrest
arrive: arrive,arrived
arrow: arrow
art: art
asa: asa
ascend: ascend
ascension: ascension
asceticism: asceticism
ascii: ascii
ashamed: ashamed
asia: asia
asleep: asleep
ass: ass
assail: assail,assailed
assembly: assembly
assent: assent
assertion: assertion
assimilate: assimilated
assist: assist
assistance: assistance
assume: assume,assumes
assurance: assurance,assurances
assure: assure,assured,assures,assuring
assured: assured
astonishing: astonishing
astray: astray
atlantic: atlantic
atmosphere: atmosphere
atoning: atoning
attach: attached
attack: attack,attacked
attain: attain,attained
attempt: attempt,attempting
attend: attended
attention: attention
attentive: attentive
attentively: attentively
attitude: attitude
attractive: attractive
attribute: attributed
augean: augean
aught: aught
august: august
austere: austere
author: author
authority: authority
avail: avail,availed
avenue: avenues
avocation: avocations
avoid: avoid,avoided,avoids
await: awaiting
awaken: awaken
awakening: awakening
awe: awe,awed
awed: awed
awful: awful
aye: aye
babe: babe,babes
bach: bach
backslider: backslider
bacon: bacon
bad: bad,worse,worst
badly: badly
bag: bag
balance: balance
ball: ball
balloon: balloon
balm: balm
banish: banishes
banishment: banishment
baptise: baptised,baptising
baptism: baptism
baptist: baptist
bare: bare
barely: barely
bargain: bargain
barley: barley
barn: barn,barns
barnabas: barnabas
barrel: barrels
barren: barren
bartholomew: bartholomew
basal: basal
base: base,based
baseball: baseball
basis: bases
bath: bathed
battle: battle,battling
baxter: baxter
beam: beams
bear: bear,bearing,bears,bore,born
bearer: bearer
bearing: bearing
beast: beast,beasts
beat: beat,beaten,beating
beating: beating
beautiful: beautiful
beautify: beautify
beauty: beauty
becloud: becloud
becometh: becometh
bed: bed
bedding: bedding
beelzebub: beelzebub
beethoven: beethoven
befall: befalls,befell
beget: begets,begotten
beggar: beggar
begotten: begotten
begrime: begrimed
beguile: beguiled
behalf: behalf
behold: beheld,behold,beholding
belief: belief
believer: believer
believeth: believeth
belittle: belittle
bellow: bellowing
belly: belly
belong: belong,belonged,belongs
bemean: bemeaned
bench: bench
beneath: beneath
benediction: benediction
beneficent: beneficent
benefit: benefit,benefits
benevolence: benevolence
bent: bent
beseech: beseech,besought
beset: beset
bestow: bestow,bestowed,bestows
bestowing: bestowing
betray: betray,betrayed
betrayal: betrayal
beware: beware
bezaleel: bezaleel
bible: bible
bid: bids
bigoted: bigoted
billow: billows
binary: binary
bind: bind,bound
bird: bird
birth: birth
birthright: birthright
bishop: bishop
bit: bit
bitter: bitter
bitterness: bitterness
black: black
blackness: blackness
blank: blank
blaspheme: blaspheme
blasphemy: blasphemies,blasphemy
blend: blended
bless: bless,blessed
blessed: blessed
blessedness: blessedness
blessing: blessing,blessings
blest: blest
blind: blind,blinds
blindly: blindly
blindness: blindness
block: block
blood: blood
bloom: bloom
blossom: blossoms
blot: blot,blotted
board: board
boast: boast,boasts
boat: boats
bodily: bodily
body: bodies,body
bold: bold
boldly: boldly
boldness: boldness
bolt: bolt
bond: bond
bondage: bondage
book: book,books
boot: boots
booth: booth
border: borders
borderland: borderland
bow: bow,bowed
bower: bowers
box: box
boy: boy
boyish: boyish
boys: boys
brain: brain
branch: branch,branches
brand: brand
brass: brass
bravado: bravado
brave: brave
breach: breach
bread: bread
break: break,breaking,broke,broken
breakfast: breakfast
breast: breast
breath: breath
breathless: breathless
brethren: brethren
brick: brick
bride: bride
bridegroom: bridegroom
bridle: bridle
bright: bright
brighten: brightened
brightness: brightness
brilliant: brilliant
brim: brim,brimmed,brimming
bring: bring,bringing,brings,brought
bringeth: bringeth
brink: brink
broad: broad,broader
broaden: broadened,broadening
broken: broken
brother: brother
brotherly: brotherly
bruise: bruised
brushwood: brushwood
brutality: brutalities
bubble: bubbled,bubbles
buckler: buckler
build: build,building,builds,built
builder: builders
building: building,buildings
bullet: bullet,bullets
bunyan: bunyan
buoyant: buoyant
burden: burden,burdened,burdens
burdensome: burdensome
burn: burn,burned,burning
burst: bursts
bush: bush
business: business
busy: busier,busy
butchery: butchery
button: button
cadet: cadets
cake: cake
calamity: calamities
calculate: calculate,calculated
caleb: caleb
calling: calling
calm: calm,calms
calmly: calmly
camp: camp
campaign: campaigns
canaan: canaan
canada: canada
candidate: candidates
canst: canst
cap: cap
captain: captain
captive: captive,captives
captivity: captivity
carcase: carcase
card: card
care: care
careful: careful
carefully: carefully
careless: careless
carelessly: carelessly
carelessness: carelessness
carnal: carnal
carnality: carnality
carpenter: carpenter
carpet: carpets
carriage: carriage
carry: carried,carry,carrying
cast: cast,casting,casts
castaway: castaways
casteth: casteth
catastrophe: catastrophe
catch: catch,caught
catechism: catechism
cattle: cattle
cease: cease,ceased,ceases,ceasing
ceaseless: ceaseless
ceaselessly: ceaselessly
cedar: cedar
celluloid: celluloid
censorious: censorious
censure: censure
cent: cent
central: central
centurion: centurion
century: centuries,century
ceremony: ceremonies
chamber: chamber
chance: chance
change: change,changed,changing
channel: channel,channels
chap: chap
chapter: chapter
character: character
characteristic: characteristics
charge: charge,charged,charges
charitable: charitable
charity: charities,charity
charles: charles
chastening: chastening
chastise: chastised
check: check,checking,checks
cheek: cheek
cheer: cheer
cheerful: cheerful
cheerfully: cheerfully
cherish: cherished
chicago: chicago
chief: chief
chiefly: chiefly
child: child,children
childhood: childhood
childlike: childlike
chime: chime
china: china
chip: chips
choice: choice
choose: choose,chooses,chosen
chord: chord,chords
chosen: chosen
christ: christ
christian: christian,christians
christlike: christlike
church: church,churches
circumstance: circumstance,circumstances
citadel: citadel
citizen: citizen,citizens
citizenship: citizenship
city: cities,city
civil: civil
claim: claim,claims
clamour: clamour
clang: clanging
clasp: clasp
class: class,classes
clay: clay
clean: clean
cleanness: cleanness
cleanse: cleanse,cleansed,cleanses
cleansing: cleansing
cleave: cleave
cleft: cleft
client: client
cloak: cloak
clod: clod
close: close
clothe: clad,clothed
clothes: clothes
cloud: cloud,clouds
cloudless: cloudless
cloven: cloven
club: club
coal: coal
coast: coast
coat: coat
code: codes
cog: cogs
cold: cold
collar: collars
collection: collection
college: colleges
colonel: colonel
colossians: colossians
colt: colt
cometh: cometh
comfort: comfort,comforted,comforting,comforts
comforter: comforter
command: command,commanded,commands
commanding: commanding
commandment: commandments
commence: commenced
commend: commend
commercial: commercial
commission: commission,commissioned,commissions
commissioner: commissioner
commit: commit,committed
common: common
commonplace: commonplace
communication: communication
communion: communion
community: communities,community
compact: compact
companion: companion
company: company
comparative: comparative
compare: compared,comparing
compass: compass
compassion: compassion
compassionate: compassionate
compassionately: compassionately
compel: compel,compelled,compels
compilation: compilation
complacent: complacent
complain: complaining,complains
complaint: complaint
complete: complete,completed,completes
completely: completely
complex: complex
compliance: compliance
comply: comply,complying
compose: composed
comprehensive: comprehensive
compress: compressed
computation: computation
comrade: comrade,comrades
conceal: conceal
conceit: conceit,conceits
conceive: conceive
concept: concept
concern: concerned
conclude: conclude
conclusion: conclusion
condemn: condemn,condemned,condemning,condemns
condemnation: condemnation
condescend: condescended
condition: condition,conditions
conduct: conduct
confer: conferred
confess: confess,confessed
confession: confession
confidence: confidence
confident: confident
confidently: confidently
confine: confine,confined
confirm: confirmed,confirms
confirmation: confirmation
conflict: conflict
conform: conform
conformity: conformity
confound: confound
confront: confronted
confuse: confuse
confusion: confusion
congregation: congregation
congregationalists: congregationalists
conquer: conquer,conquered,conquers
conqueror: conquerors
