aback: aback
abandonment: abandonment
abide: abide,abiding
ability: ability
abjectly: abjectly
abreast: abreast
absent: absent
abundance: abundance
accent: accents
accept: accepted,accepting
accident: accident
accommodate: accommodated
accompany: accompanied
accomplish: accomplished
account: account,accounted
accumulate: accumulated
ache: ached
achieve: achieve,achieved
acknowledge: acknowledged
acquaintance: acquaintance
acting: acting
action: action,actions
active: active
acuteness: acuteness
adaptability: adaptability
add: adding
addition: addition
additional: additional
address: addressed
adjust: adjust,adjusting
adjustment: adjustment
administer: administered,administering
administration: administration
admiration: admiration
adoration: adoration
adore: adore
advance: advance,advanced,advances
advanced: advanced
advantage: advantage
advent: advent
adventure: adventure,adventures
adversary: adversary
advertise: advertised
advertising: advertising
advice: advice
affair: affair
affection: affection
affirm: affirmed
affirmative: affirmative
afford: afford
afoot: afoot
afraid: afraid
afternoon: afternoon
afterward: afterward
age: ages
aged: aged
agent: agent
agility: agility
aglow: aglow
agonizing: agonizing
agony: agony
aid: aid
aimlessly: aimlessly
air: air
aisle: aisles
akin: akin
alaska: alaska
alaskan: alaskan
alert: alert
alertness: alertness
alice: alice
alive: alive
aloud: aloud
alpine: alpine
alter: alter
amazingly: amazingly
ambition: ambition
ambitious: ambitious
ambuscade: ambuscade
amenity: amenities
ammunition: ammunition
ancestor: ancestor,ancestors
anchor: anchor
ancient: ancient
anger: anger
angle: angle
angry: angry
animal: animal,animals
animate: animated
ankle: ankle
annoyed: annoyed
answer: answer,answered,answering,answers
antagonist: antagonist,antagonists
antler: antlers
anxious: anxious
apex: apex
appal: appalled
apparel: apparel
apparent: apparent
appeal: appealed
appealingly: appealingly
appearance: appearance
appeasement: appeasement
appeasingly: appeasingly
appetite: appetites
appoint: appointed
apprehension: apprehension,apprehensions
apprehensively: apprehensively
approach: approached
apt: apt
arbor: arbors
arctic: arctic
arduous: arduous
aristocrat: aristocrat
arm: arm,armed,arms
arouse: arouse,aroused
arrange: arranged
arrangement: arrangement
array: array
arrest: arrested
arrive: arrive,arrived
arrow: arrow,arrows
art: art
artesian: artesian
article: article,articles
articulate: articulate
artist: artist
ascend: ascended
ashamed: ashamed
ashore: ashore
asleep: asleep
aspect: aspect
aspen: aspens
aspire: aspired
assail: assailed
assailant: assailants
association: association
assortment: assortment
astonished: astonished
astonishment: astonishment
asunder: asunder
athletic: athletic
atmosphere: atmosphere
attach: attached
attack: attack,attacked,attacking
attempt: attempt,attempted,attempting
attend: attended
attention: attention
attitude: attitude
attract: attracted
aurora: aurora
authority: authority
avail: avail
aver: averred
average: averaged
avoid: avoided
awake: awoke
awakening: awakening,awakenings
aware: aware
awe: awe
awed: awed
awkward: awkward
axe: axe
babel: babel
backbone: backbone
bacon: bacon
bad: bad,worse,worst
badly: badly,worse
bag: bag,bags
baggage: baggage
baggageman: baggageman
ball: ball
band: band,bands
bank: bank,banked
bar: bar,barred,bars
barbarous: barbarous
bare: bare
barely: barely
barge: barge
bark: bark,barked,barking
barracks: barracks
barrelled: barrelled
barrens: barrens
basis: basis
batch: batches
bath: bathed
batter: battered
battering: battering
battle: battle,battles
bay: bay
beach: beach,beaches
bear: bear,bearing,bore,born,borne
beardless: beardless
beast: beast,beasts
beat: beaten
beating: beating
beautiful: beautiful
beaver: beaver
beckon: beckon
bed: bed,beds
bedlam: bedlam
beg: begged
belie: belie
belief: belief
bell: bells
belligerent: belligerent
belly: belly,bellying
belong: belong,belonged,belongs
belongings: belongings
belt: belt
bench: bench
benches: benches
bend: bend,bending,bends,bent
beneath: beneath
bernard: bernard
berry: berry
beset: beset,besetting
bespeak: bespeak
bet: bet
betray: betrayed
bewilder: bewildered
bicker: bickered
bickering: bickering
bid: bid
bide: bide
bind: bound
birch: birch
bird: bird,birds
bit: bit
bite: bit,bite,bites,biting,bitten
bitter: bitter
bitterness: bitterness
black: black
blade: blade
blank: blanked
blanket: blankets
blaze: blaze,blazed,blazing
bleak: bleak
bleeding: bleeding
blind: blind,blinded,blinding
blink: blinking
blizzard: blizzards
block: blocked,blocking
blood: blood
bloodhound: bloodhound
bloody: bloody
blow: blew,blow,blowing,blows
blowing: blowing
blue: blue
bluff: bluff
blunder: blundered,blundering
blunderer: blunderer
boast: boast
boastful: boastful
boat: boat,boats
bode: boded
bodily: bodily
body: bodies,body
bold: boldest
boldly: boldly
bologna: bologna
bolt: bolted
bombard: bombarded
bonanza: bonanza
bone: bone,bones
bony: bony
book: book
boom: boomed,booming
borealis: borealis
bored: bored
boss: boss
bough: bough,boughs
bound: bound,bounded
boundless: boundless
box: box,boxes
boy: boy,boys
brace: braced
brag: bragged
brain: brain
branch: branching
brass: brass
brave: bravest
bravely: bravely
bravery: bravery
bread: bread
break: break,breaking,breaks,broke,broken
breakable: breakable
breakfast: breakfast
breaking: breaking
breast: breast
breasted: breasted
breath: breath,breaths
breathe: breathe,breathed
breathing: breathing
breathless: breathless
breed: bred,breed
breeze: breeze,breezes
brewing: brewing
bribe: bribe
bridge: bridges
bright: bright
bring: bring,bringing,brought
bristle: bristled,bristling
broad: broad,broader
broke: broke
broken: broken
brood: brooded
brooding: brooding
broom: brooms
brother: brother,brothers
brown: brown
browse: browse
bruise: bruise,bruised,bruises
brumal: brumal
brutal: brutal
brutality: brutality
brute: brutes
bubble: bubbled,bubbling
buck: buck,bucked
buckle: buckled,buckles
bud: buds
budge: budge
build: build,building,built
building: building
bulge: bulging
bulk: bulk,bulked
bull: bull,bulls
bully: bully
bunch: bunched
bundle: bundle,bundled,bundles
burn: burned,burning
burst: burst,bursting
bursting: bursting
burton: burton
bury: buried
business: business
businesslike: businesslike
buster: busters
busy: busy
butt: butt
butter: butter
cabin: cabin
cadence: cadences
cagelike: cagelike
cajole: cajole
calamity: calamity
calculate: calculated,calculating
calf: calf,calves
callous: callous
callowness: callowness
calm: calm
calmly: calmly
camp: camp,camped,camps
camping: camping
canada: canada
canadian: canadian
candle: candle
canvas: canvas
cap: cap
capable: capable
capacity: capacity
capital: capital
capsize: capsized
captain: captain
car: car
carcass: carcass,carcasses
card: card
care: care,cared
careful: careful
carefully: carefully
caress: caress,caressing
carnivorous: carnivorous
carry: carried,carry,carrying
cart: carted
cartridge: cartridges
cash: cash
cast: cast
cat: cat
catch: catching,caught
catlike: catlike
cattlemen: cattlemen
caution: caution
cautious: cautious
cautiously: cautiously
cave: cave
cayuse: cayuses
cease: ceased
celerity: celerity
cell: cell
cement: cement
centre: centre,centring
century: centuries
certainty: certainty
certitude: certitude
cessation: cessation
chafe: chafing
chaff: chaff
chaffering: chaffering
chain: chain
challenge: challenging
champion: champion
chance: chance,chanced,chances
change: change,changed,changing
channel: channel
chant: chant
chaotic: chaotic
chapter: chapter
characterize: characterized
charge: charge,charged
charles: charles
charlotte: charlotte
