ab: ab
abandon: abandon,abandoned,abandoning
abate: abate,abated
abba: abba
abbas: abbas
abbey: abbey
abbot: abbot
abbreviation: abbreviation
abbreviator: abbreviator,abbreviators
abbreviators: abbreviators
abdicate: abdicate,abdicated
abdication: abdication
abhor: abhor,abhorred,abhors
abhorred: abhorred
abhorrence: abhorrence
ability: abilities,ability
abject: abject
abjuration: abjuration
abjure: abjure,abjured
ably: ably
abode: abode
abolish: abolish,abolished,abolishing
abolition: abolition
abominable: abominable
abomination: abomination
abound: abound,abounds
abraham: abraham
abridge: abridge
abridged: abridged
abridgment: abridgment
abrupt: abrupt
absence: absence
absent: absent
absit: absit
absolute: absolute
absolutely: absolutely
absolution: absolution
absolve: absolved
abstain: abstain,abstained
abstinence: abstinence
abstract: abstract,abstracts
abstracted: abstracted
abstraction: abstractions
abstruse: abstruse
absurd: absurd
absurdly: absurdly
abundance: abundance
abundantly: abundantly
abuse: abuse,abused,abuses,abusing
abyss: abyss
abyssinia: abyssinia
abyssinians: abyssinians
ac: ac
acad: acad
academy: academies,academy
accelerate: accelerated
accent: accents
accept: accept,accepted,accepting
acceptable: acceptable
access: access
accessible: accessible
accession: accession,accessions
accident: accident,accidents
accidental: accidental
accidentally: accidentally
acclamation: acclamation,acclamations
acclivity: acclivity
accommodation: accommodation
accompany: accompanied,accompanies,accompany
accomplice: accomplice,accomplices
accomplish: accomplished
accomplished: accomplished
accomplishment: accomplishment,accomplishments
accord: accord
accost: accosted
account: account,accounts
accountable: accountable
accounting: accounting
accumulate: accumulate,accumulated
accuracy: accuracy
accurate: accurate
accurately: accurately
accusation: accusation,accusations
accuse: accuse,accused,accuses
accuser: accuser,accusers
accustom: accustomed
accustomed: accustomed
acer: acer
achieve: achieve,achieved,achieving
achievement: achievement,achievements
achilles: achilles
acknowledge: acknowledge,acknowledged,acknowledges,acknowledging
acknowledgment: acknowledgment
acquaint: acquainted,acquaints
acquaintance: acquaintance
acquiesce: acquiesce,acquiesced
acquiescence: acquiescence
acquire: acquire,acquired,acquires,acquiring
acquisition: acquisition,acquisitions
acquit: acquit,acquitted
acquittal: acquittal
acre: acres
acrimony: acrimony
acropolis: acropolis
acrostic: acrostic,acrostics
acta: acta
action: action,actions
active: active
activity: activity
actor: actor
acts: acts
actual: actual
actuate: actuate,actuated
acute: acute
acuteness: acuteness
acy: acies
adapt: adapt,adapted
add: add,adding,adds
addict: addicted
addicted: addicted
addita: addita
addition: addition,additions
additional: additional
address: address,addressed,addresses,addressing
adduce: adduced
adequate: adequate
adhere: adhere,adhered
adherence: adherence
adherent: adherents
adjacent: adjacent
adjoining: adjoining
adjure: adjured
administer: administer,administered
administration: administration
admirable: admirable
admirably: admirably
admiration: admiration
admire: admire,admired,admires
admired: admired
admirer: admirers
admission: admission
admit: admit,admits,admitted,admitting
admittance: admittance
admonish: admonish,admonished,admonishes
admonition: admonition,admonitions
adopt: adopt,adopting,adopts
adoption: adoption
adoration: adoration
adore: adore,adored,adores
adorn: adorn,adorned,adorns
adriatic: adriatic
adulation: adulation
adult: adult
adulterer: adulterer
adulteress: adulteress
adultery: adultery
advance: advance,advanced,advances,advancing
advanced: advanced
advantage: advantage,advantages
advantageous: advantageous
advantageously: advantageously
adventure: adventure,adventures
adventurer: adventurers
adventurous: adventurous
adversary: adversaries,adversary
adverse: adverse
adversity: adversity
adversus: adversus
advice: advice
advisable: advisable
advise: advise,advised
advocate: advocate,advocates
afar: afar
affability: affability
affair: affairs
affaires: affaires
affect: affect
affectation: affectation
affection: affection,affections
affectionate: affectionate
affinity: affinity
affirm: affirm,affirmed,affirming,affirms
affix: affixed
afflict: afflicted
affliction: affliction
affluence: affluence
affluent: affluent
afford: afford,afforded,affording,affords
affrighted: affrighted
affront: affront
afraid: afraid
africa: africa
african: african,africans
agamemnon: agamemnon
agape: agape
age: age,ages
aged: aged
agency: agency
agent: agent,agents
aggravate: aggravate,aggravated
aggravation: aggravation
aggregate: aggregate
agility: agility
agitate: agitate,agitated
agitated: agitated
agitation: agitation
agnomen: agnomen
agony: agonies
agree: agree,agreed,agrees
agreeable: agreeable
agreeably: agreeably
agreement: agreement
agricultural: agricultural
agriculture: agriculture
ahab: ahab
ahmed: ahmed
aid: aid
aim: aim,aimed
air: air,airs
airy: airy
ait: ait
ajax: ajax
alacrity: alacrity
alani: alani
alans: alans
alarm: alarm,alarmed,alarming,alarms
alarmed: alarmed
alarming: alarming
alban: alban
albania: albania
albanian: albanians
aldus: aldus
alemanni: alemanni
aleppo: aleppo
alexander: alexander
alexandria: alexandria
alexandrian: alexandrian
alexandrine: alexandrine
alexis: alexis
alexius: alexius
alibi: alibi
alienate: alienate,alienating
alienated: alienated
alike: alike
aliquid: aliquid
aliter: aliter
alive: alive
allay: allay
allege: allege,alleged,alleges,alleging
allegiance: allegiance
allegorical: allegorical
allegorically: allegorically
allegorize: allegorized
allegory: allegories,allegory
alleviate: alleviate,alleviated
alliance: alliance,alliances
allot: allots,allotted,allotting
allowance: allowance,allowances
allude: allude,alluded,alludes
allure: allure,allured
allurement: allurements
allusion: allusion,allusions
ally: allied,allies,ally
almanac: almanacs
almighty: almighty
alms: alms
alphabet: alphabet
alphabetical: alphabetical
alps: alps
altar: altar,altars
alter: alter,altered,altering
alteration: alteration,alterations
altercation: altercations
alterius: alterius
alternate: alternate
alternately: alternately
alternative: alternative
altogether: altogether
amas: amas
amazement: amazement
