abortion: abortions
absence: absence
absentee: absentees
accident: accident
accidentally: accidentally
account: account
acquaintance: acquaintance
add: adding
addition: addition
additional: additional
admirable: admirable
admit: admit
advance: advanced,advancing
advantage: advantage,advantages
advise: advising
affair: affairs
age: age
aged: aged
agree: agreed
agriculture: agriculture
alas: alas
alive: alive
alms: alms
altogether: altogether
american: american
animosity: animosities
annual: annual
annually: annually
annum: annum
answer: answer
appoint: appointed
apprehend: apprehend
apt: apt
arm: arms
arrive: arrive
art: art
artificially: artificially
assembly: assemblies
assure: assured
attempt: attempt
author: author,authors
avoid: avoid,avoided
babe: babes
bacon: bacon
bad: worse
baked: baked
barbadoes: barbadoes
barrel: barrel
bastard: bastard
bear: bear,born
bearing: bearing
beat: beat
beef: beef
beg: beg,begging
beggar: beggar,beggars
beneficial: beneficial
bent: bent
black: black
body: bodies,body
boil: boiled
bold: bold
boot: boots
border: bordering
boy: boy
breast: breast
breed: breed
breeder: breeders
brevity: brevity
bring: bring,brought
build: build
bulk: bulk
burden: burden
butcher: butchers
calculate: calculate
calf: calf
carcass: carcass,carcasses
care: care
cattle: cattle
cautious: cautious
censure: censure
chair: chair
charge: charge
charity: charity
cheap: cheap,cheaper
cheat: cheat
child: child,children
choose: chosen
circulate: circulate
circumstance: circumstance
city: city
clothes: clothes
clothing: clothing
cold: cold
collateral: collateral
commodity: commodity
common: common
commonwealth: commonwealth
comparable: comparable
computation: computation
compute: compute,computed
conceive: conceived
concern: concern
condition: condition
confess: confess,confessed
confine: confined
conscience: conscience,consciences
considerable: considerable
consideration: consideration
consistence: consistence
constant: constant
continual: continual
continuance: continuance
contradiction: contradiction
contrary: contrary
contribute: contribute
contrive: contrive
convenient: convenient
conversation: conversation
cook: cook
corn: corn
cottager: cottagers
country: countries,country
county: county
couple: couple
court: court
cover: cover
cow: cows
creature: creatures
crowd: crowded
crown: crown,crowns
crucify: crucified
cruelty: cruelty
cultivate: cultivate
curate: curate
cure: curing
custom: custom
customer: customers
dainty: dainty
dam: dam
danger: danger
dangerous: dangerous
day: day
deal: dealing
death: death
debt: debt
deer: deer
deference: deference
degree: degree
delicious: delicious
deliver: deliver,delivered
demand: demand
deny: deny
deplorable: deplorable
deserve: deserve
deserving: deserving
design: design
desire: desire,desired
despairing: despairing
desponding: desponding
destroy: destroyed
destruction: destruction
devour: devoured
die: die,dying
digress: digressed
dine: dine,dines
disagreeable: disagreeable
discourse: discoursing
disease: disease
diseased: diseased
dish: dish,dishes
dislike: dislike
disoblige: disobliging
dispose: disposed
distress: distress,distresses
door: doors
doubt: doubt
dress: dressed,dressing
dropt: dropt
dublin: dublin
earnestly: earnestly
earth: earth
ease: ease
easy: easy
eat: eat
eating: eating
effectual: effectual
eminent: eminent
emperor: emperor
employ: employ
emulation: emulation
encourage: encouraged
encrease: encrease
endeavour: endeavouring
enemy: enemies
enforce: enforced
england: england
entertainment: entertainment
enumerate: enumerated
episcopal: episcopal
equally: equally
esteem: esteem
evil: evils
exact: exact
exceed: exceeding
excellent: excellent
exchange: exchange
executioner: executioner
exercise: exercise
expect: expected
expedient: expedient,expedients
expensive: expensive
expensiveness: expensiveness
experience: experience
exportation: exportation
extent: extent
faction: factions
fair: fair
fall: fell
family: families,family
famine: famine
famous: famous
farmer: farmers
farrow: farrow
fast: fast
fat: fat,fattest
father: fathers
fatten: fatten
fear: fear
feast: feast
feeding: feeding
female: female,females
fifthly: fifthly
fight: fight
figure: figure
filth: filth
fine: fine
finery: fineries
fish: fish
fit: fit
flay: flay
flesh: flesh
foal: foal
fond: fond
food: food
force: forced
fore: fore
foreign: foreign
fortunately: fortunately
fortune: fortune,fortunes
fourteen: fourteen
fourth: fourth
fourthly: fourthly
freely: freely
french: french
frequent: frequent,frequented
frequently: frequently
friend: friend,friends
fruit: fruits
furniture: furniture
gain: gain
gaming: gaming
gentleman: gentleman,gentlemen
gibbet: gibbet
girl: girl,girls
glad: glad
glove: gloves
glutted: glutted
goodness: goodness
grant: grant,granted
grave: grave
