abandon: abandon,abandoned,abandoning
abatis: abatis
ability: abilities,ability
ably: ably
abner: abner
absence: absence
absolutely: absolutely
abundantly: abundantly
abut: abutting
accept: accept,accepted
acceptance: acceptance
accident: accident
accidentally: accidentally
accompaniment: accompaniments
accompany: accompanied
accomplish: accomplished
account: account,accounting
accoutrements: accoutrements
accumulation: accumulations
accuracy: accuracy
ache: aching
acknowledge: acknowledge,acknowledged
acquaint: acquaint
acquiescence: acquiescence
acquire: acquired
acre: acres
acting: acting
action: action
active: active
actively: actively
activity: activity
add: add,adding
address: address,addresses
adelbert: adelbert
adept: adepts
adieus: adieus
adjutant: adjutant
admiral: admiral
admiration: admiration
admire: admired
admission: admissions
admonish: admonish
adolphus: adolphus
adoniram: adoniram
advance: advance,advanced,advancing
advanced: advanced
advantage: advantage
adventure: adventure
adventurous: adventurous
advertisement: advertisement
advisability: advisability
affair: affair
affect: affect
affection: affection
affectionate: affectionate
afflict: afflicted
afford: afforded,affording
afraid: afraid
afternoon: afternoon
age: age
aggravate: aggravate
aggravating: aggravating
aggressive: aggressive
aggressiveness: aggressiveness
aghast: aghast
agitated: agitated
agree: agree,agreed
aid: aid,aids
aide: aides
aim: aimed
air: air
alamos: alamos
alarm: alarm
alarming: alarming
alas: alas
albee: albee
albert: albert
albion: albion
alert: alert
alexander: alexander
alexandria: alexandria
alfred: alfred
alias: alias
alignment: alignment
alike: alike
alive: alive
allen: allen
alligator: alligator,alligators
almighty: almighty
alonzo: alonzo
alternate: alternate
amelia: amelia
amicably: amicably
amity: amity
ammunition: ammunition
amp: amp
amputate: amputated
amusement: amusement
amusing: amusing
anchor: anchor,anchored,anchoring
anderson: anderson
andrew: andrew
angel: angel
angle: angles
angry: angry
animus: animus
annapolis: annapolis
annihilation: annihilation
announcement: announcement
annoy: annoyed
answer: answer,answered,answering
answering: answering
ante: ante
anticipate: anticipated,anticipating
anticipated: anticipated
anticipation: anticipation
antietam: antietam
antiquity: antiquities
anxiety: anxiety
anxious: anxious
anxiously: anxiously
apartment: apartment
apocryphal: apocryphal
appalling: appalling
apparent: apparent
appearance: appearance
appetite: appetites
appetizing: appetizing
apple: apple
apply: applied
appoint: appointed
appomattox: appomattox
appreciable: appreciable
approach: approach,approaches,approaching
approval: approval
apr: apr
april: april
aptitude: aptitude
arc: arcs
archive: archive
ardent: ardent
arduous: arduous
argue: argued,argues
argument: argument
arm: arm,armed,arms
armed: armed
army: armies,army
arnold: arnold
arouse: arouse,aroused
arrange: arranged,arranging
arrangement: arrangement
arrival: arrival
arrive: arrived,arriving
arsenal: arsenal
art: art
article: articles
artillerist: artillerists
artillery: artillery
artilleryman: artillerymen
artillerymen: artillerymen
asa: asa
ashore: ashore
asleep: asleep
assail: assail,assailed
assault: assault,assaulted,assaulting,assaults
assemble: assembled
assert: asserted
asseveration: asseverations
assiduously: assiduously
assign: assigned
assist: assist,assisted,assisting
assistance: assistance
assistant: assistant
association: association
assume: assumed
assurance: assurance
assure: assured,assuring
astride: astride
atlantic: atlantic
atmospheric: atmospheric
attach: attached
attack: attack,attacked,attacking,attacks
attempt: attempt,attempted,attempts
attend: attend,attending
attention: attention
attract: attracted
attribute: attributed
audacious: audacious
auditor: auditor
aug: aug
augment: augmenting
august: august
augusta: augusta
augustus: augustus
aurora: aurora
authority: authorities,authority
averse: averse
await: await,awaited,awaiting
awake: awake,awoke
awaken: awaken
awakening: awakening
aware: aware
awe: awe
awkward: awkward
awning: awning
axemen: axemen
axis: axes
ay: ay
background: background
